2020-01-12 17:06:35.791 INFO  [main] [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] 83 - Could not detect default configuration classes for test class [com.xiaozipu.client.banner.RecommendProductTest]: RecommendProductTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-12 17:06:36.657 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 235 - Found @SpringBootConfiguration com.xiaozipu.client.XzpClientApplication for test class com.xiaozipu.client.banner.RecommendProductTest
2020-01-12 17:06:37.223 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-12 17:06:37.333 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@20b12f8a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e84a8e1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2e554a3b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@54a67a45, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d42c224, org.springframework.test.context.transaction.TransactionalTestExecutionListener@56aaaecd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@522a32b1, org.springframework.test.context.event.EventPublishingTestExecutionListener@35390ee3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5e01a982, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5ddea849, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5ee2b6f9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@23d1e5d0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@704f1591]
2020-01-12 17:06:38.966 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 55 - Starting RecommendProductTest on yinjunjie with PID 32 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-12 17:06:38.968 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 655 - The following profiles are active: dev,config/config-dev
2020-01-12 17:06:41.382 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-12 17:06:41.388 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-12 17:06:41.446 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 18ms. Found 0 repository interfaces.
2020-01-12 17:06:42.425 INFO  [main] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-12 17:06:43.521 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - xzpHikariCP - Starting...
2020-01-12 17:06:44.070 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - xzpHikariCP - Start completed.
2020-01-12 17:06:45.651 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-12 17:06:49.010 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 61 - Started RecommendProductTest in 11.486 seconds (JVM running for 16.686)
2020-01-12 17:06:49.853 INFO  [SpringContextShutdownHook] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-12 17:06:49.880 INFO  [SpringContextShutdownHook] [com.zaxxer.hikari.HikariDataSource] 350 - xzpHikariCP - Shutdown initiated...
2020-01-12 17:06:49.911 INFO  [SpringContextShutdownHook] [com.zaxxer.hikari.HikariDataSource] 352 - xzpHikariCP - Shutdown completed.
2020-01-12 17:08:13.843 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaozipu.client.banner.RecommendProductTest], using SpringBootContextLoader
2020-01-12 17:08:13.889 INFO  [main] [org.springframework.test.context.support.AbstractContextLoader] 264 - Could not detect default resource locations for test class [com.xiaozipu.client.banner.RecommendProductTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-12 17:08:13.896 INFO  [main] [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] 83 - Could not detect default configuration classes for test class [com.xiaozipu.client.banner.RecommendProductTest]: RecommendProductTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-12 17:08:14.415 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 235 - Found @SpringBootConfiguration com.xiaozipu.client.XzpClientApplication for test class com.xiaozipu.client.banner.RecommendProductTest
2020-01-12 17:08:14.900 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-12 17:08:14.961 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@20b12f8a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@e84a8e1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2e554a3b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@54a67a45, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d42c224, org.springframework.test.context.transaction.TransactionalTestExecutionListener@56aaaecd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@522a32b1, org.springframework.test.context.event.EventPublishingTestExecutionListener@35390ee3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5e01a982, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5ddea849, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5ee2b6f9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@23d1e5d0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@704f1591]
2020-01-12 17:08:16.311 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 55 - Starting RecommendProductTest on yinjunjie with PID 13152 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-12 17:08:16.312 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 655 - The following profiles are active: dev,config/config-dev
2020-01-12 17:08:18.174 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-12 17:08:18.181 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-12 17:08:18.250 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 30ms. Found 0 repository interfaces.
