2020-01-23 18:58:06.488 INFO  [main] [com.xiaozipu.service.sms.SmsServiceImpl] 63 - 阿里云短息返回：{"data":"{\"Message\":\"JSON参数不合法\",\"RequestId\":\"3F4DCFE6-EE7F-4E55-B087-6DC7686CA44A\",\"Code\":\"isv.INVALID_JSON_PARAM\"}","httpResponse":{"encoding":"UTF-8","headers":{"Server":"Jetty(7.2.2.v20101205)","Access-Control-Allow-Origin":"*","Access-Control-Allow-Methods":"POST, GET, OPTIONS","Connection":"keep-alive","Access-Control-Max-Age":"172800","Content-Length":"116","Access-Control-Allow-Headers":"X-Requested-With, X-Sequence, _aop_secret, _aop_signature","Date":"Thu, 23 Jan 2020 10:58:02 GMT","Content-Type":"application/json;charset=utf-8"},"httpContent":"eyJNZXNzYWdlIjoiSlNPTuWPguaVsOS4jeWQiOazlSIsIlJlcXVlc3RJZCI6IjNGNERDRkU2LUVFN0YtNEU1NS1CMDg3LTZEQzc2ODZDQTQ0QSIsIkNvZGUiOiJpc3YuSU5WQUxJRF9KU09OX1BBUkFNIn0=","httpContentString":"{\"Message\":\"JSON参数不合法\",\"RequestId\":\"3F4DCFE6-EE7F-4E55-B087-6DC7686CA44A\",\"Code\":\"isv.INVALID_JSON_PARAM\"}","httpContentType":"JSON","status":200,"success":true,"url":"http://dysmsapi.aliyuncs.com/"},"httpStatus":200}
2020-01-23 18:58:06.520 INFO  [SpringContextShutdownHook] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-23 18:58:06.526 INFO  [SpringContextShutdownHook] [com.zaxxer.hikari.HikariDataSource] 350 - xzpHikariCP - Shutdown initiated...
2020-01-23 18:58:06.538 INFO  [SpringContextShutdownHook] [com.zaxxer.hikari.HikariDataSource] 352 - xzpHikariCP - Shutdown completed.
2020-01-23 19:15:40.916 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaozipu.client.banner.TestAliyun], using SpringBootContextLoader
2020-01-23 19:15:40.944 INFO  [main] [org.springframework.test.context.support.AbstractContextLoader] 264 - Could not detect default resource locations for test class [com.xiaozipu.client.banner.TestAliyun]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-23 19:15:40.962 INFO  [main] [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] 83 - Could not detect default configuration classes for test class [com.xiaozipu.client.banner.TestAliyun]: TestAliyun does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-23 19:15:41.434 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 235 - Found @SpringBootConfiguration com.xiaozipu.client.XzpClientApplication for test class com.xiaozipu.client.banner.TestAliyun
2020-01-23 19:15:41.856 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-23 19:15:41.991 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@68044f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@52d239ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@315f43d5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@68fa0ba8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6c5945a7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f05be7f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@640f11a1, org.springframework.test.context.event.EventPublishingTestExecutionListener@5c10f1c3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ac2e39b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78365cfa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@64a8c844, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3f6db3fb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@52de51b6]
2020-01-23 19:15:43.188 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 55 - Starting TestAliyun on yinjunjie with PID 7956 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-23 19:15:43.189 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 655 - The following profiles are active: config-dev,dev
2020-01-23 19:15:45.927 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-23 19:15:45.938 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-23 19:15:45.987 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 18ms. Found 0 repository interfaces.
2020-01-23 19:15:46.986 INFO  [main] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-23 19:15:48.045 INFO  [main] [com.xiaozipu.client.config.RedisTemplateConfig] 43 - redisConnectionFactory is LettuceConnectionFactory
2020-01-23 19:15:48.045 INFO  [main] [com.xiaozipu.client.config.RedisTemplateConfig] 45 - redis configuration timeout:60000
2020-01-23 19:15:48.629 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - xzpHikariCP - Starting...
2020-01-23 19:15:49.245 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - xzpHikariCP - Start completed.
2020-01-23 19:15:52.320 INFO  [main] [springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping] 69 - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-01-23 19:15:53.456 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-23 19:15:54.949 INFO  [main] [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] 160 - Context refreshed
2020-01-23 19:15:54.996 INFO  [main] [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] 163 - Found 1 custom documentation plugin(s)
2020-01-23 19:15:55.063 INFO  [main] [springfox.documentation.spring.web.scanners.ApiListingReferenceScanner] 41 - Scanning for api listing references
2020-01-23 19:15:55.469 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 61 - Started TestAliyun in 13.332 seconds (JVM running for 17.328)
2020-01-23 19:16:32.050 INFO  [main] [com.xiaozipu.service.sms.SmsServiceImpl] 63 - 阿里云短息返回：{"data":"{\"Message\":\"JSON参数不合法\",\"RequestId\":\"B505C9DC-E84C-4DF5-9327-87FCF9429576\",\"Code\":\"isv.INVALID_JSON_PARAM\"}","httpResponse":{"encoding":"UTF-8","headers":{"Server":"Jetty(7.2.2.v20101205)","Access-Control-Allow-Origin":"*","Access-Control-Allow-Methods":"POST, GET, OPTIONS","Connection":"keep-alive","Access-Control-Max-Age":"172800","Content-Length":"116","Access-Control-Allow-Headers":"X-Requested-With, X-Sequence, _aop_secret, _aop_signature","Date":"Thu, 23 Jan 2020 11:16:27 GMT","Content-Type":"application/json;charset=utf-8"},"httpContent":"eyJNZXNzYWdlIjoiSlNPTuWPguaVsOS4jeWQiOazlSIsIlJlcXVlc3RJZCI6IkI1MDVDOURDLUU4NEMtNERGNS05MzI3LTg3RkNGOTQyOTU3NiIsIkNvZGUiOiJpc3YuSU5WQUxJRF9KU09OX1BBUkFNIn0=","httpContentString":"{\"Message\":\"JSON参数不合法\",\"RequestId\":\"B505C9DC-E84C-4DF5-9327-87FCF9429576\",\"Code\":\"isv.INVALID_JSON_PARAM\"}","httpContentType":"JSON","status":200,"success":true,"url":"http://dysmsapi.aliyuncs.com/"},"httpStatus":200}
2020-01-23 19:16:32.079 INFO  [SpringContextShutdownHook] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-23 19:16:32.085 INFO  [SpringContextShutdownHook] [com.zaxxer.hikari.HikariDataSource] 350 - xzpHikariCP - Shutdown initiated...
2020-01-23 19:16:32.101 INFO  [SpringContextShutdownHook] [com.zaxxer.hikari.HikariDataSource] 352 - xzpHikariCP - Shutdown completed.
